"map_publisher","channel"
"kix","paidtelevision"
"kixplus1","paidtelevision"
"lifetime","paidtelevision"
"lifetiplus1","paidtelevision"
"lonlive","paidtelevision"
"lwt3","paidtelevision"
"magic","paidtelevision"
"magiclondontrading","paidradio"
"magicnetworktradingclosed","paidradio"
"massrandb","paidtelevision"
"media15","paidtelevision"
"medicon","paidtelevision"
"mer3","paidtelevision"
"mer3h","paidtelevision"
"mer3plus1","paidtelevision"
"merse3","paidtelevision"
"mersouth","paidtelevision"
"midwe3plus1","paidtelevision"
"midwes3h","paidtelevision"
"midwest3","paidtelevision"
"milkshak","paidtelevision"
"more4","paidtelevision"
"more4plus1","paidtelevision"
"mov4men","paidtelevision"
"movie24plus","paidtelevision"
"movies24","paidtelevision"
"mpaidtelevision","paidtelevision"
"mpaidtelevisionbase","paidtelevision"
"mpaidtelevisionbeats","paidtelevision"
"mpaidtelevisionclass","paidtelevision"
"mpaidtelevisiondance","paidtelevision"
"mpaidtelevisionhits","paidtelevision"
"mpaidtelevisionmusic","paidtelevision"
"mpaidtelevisionmusplus1","paidtelevision"
"mpaidtelevisionomg","paidtelevision"
"mpaidtelevisionplus1","paidtelevision"
"mpaidtelevisionrocks","paidtelevision"
"mtv","paidtelevision"
"mtvbase","paidtelevision"
"mtvbeats","paidtelevision"
"mtvclass","paidtelevision"
"mtvdance","paidtelevision"
"mtvhits","paidtelevision"
"mtvmusic","paidtelevision"
"mtvmusplus1","paidtelevision"
"mtvplus1","paidtelevision"
"mtvrocks","paidtelevision"
"natgeog","paidtelevision"
"natgeoplus1","paidtelevision"
"natgwild","paidtelevision"
"ndpaidtelevision24x7","paidtelevision"
"newvispaidtelevision","paidtelevision"
"nick","paidtelevision"
"nickplus1","paidtelevision"
"nicktoon","paidtelevision"
"njr","paidtelevision"
"njrplus1","paidtelevision"
"njrtoo","paidtelevision"
"nollymov","paidtelevision"
"north3","paidtelevision"
"north3h","paidtelevision"
"north3plus1","paidtelevision"
"now80s","paidtelevision"
"now90s","paidtelevision"
"nowmusic","paidtelevision"
"npaidtelevisioneur","paidtelevision"
"paidradiobauerlondon","paidradio"
"paidradiobauernational","paidradio"
"paidradiogloballondon","paidradio"
"paidradioglobalnational","paidradio"
"paidtelevision99","paidtelevision"
"paramnet","paidtelevision"
"pbsamer","paidtelevision"
"pick","paidtelevision"
"pop","paidtelevision"
"popmax","paidtelevision"
"popplus1","paidtelevision"
"ppaidtelevisiongloba","paidtelevision"
"primepaidtelevision","paidtelevision"
"ptcpunja","paidtelevision"
"quest","paidtelevision"
"questred","paidtelevision"
"races","paidtelevision"
"radiobauerlondon","paidradio"
"radiobauernational","paidradio"
"radiogloballondon","paidradio"
"radioglobalnational","paidradio"
"reallive","paidtelevision"
"reallivplus","paidtelevision"
"really","paidtelevision"
"rishtey","paidtelevision"
"rishteyc","paidtelevision"
"rokpaidtelevision","paidtelevision"
"samaa","paidtelevision"
"scot3","paidtelevision"
"scot3h","paidtelevision"
"scot3plus1","paidtelevision"
"scuzz","paidtelevision"
"seast3","paidtelevision"
"seast3h","paidtelevision"
"seast3plus1","paidtelevision"
"sembrand","paidsearch"
"semnonbrand","paidsearch"
"sempla","paidsearch"
"showcase","paidtelevision"
"sky1","paidtelevision"
"sky1plus1","paidtelevision"
"sky2","paidtelevision"
"skyarts","paidtelevision"
"skyatlan","paidtelevision"
"skyatlplus1","paidtelevision"
"skycinac","paidtelevision"
"skycinco","paidtelevision"
"skycincr","paidtelevision"
"skycindi","paidtelevision"
"skycindr","paidtelevision"
"skycinfa","paidtelevision"
"skycingr","paidtelevision"
"skycinhi","paidtelevision"
"skycinpplus","paidtelevision"
"skycinpr","paidtelevision"
"skycinsc","paidtelevision"
"skycinse","paidtelevision"
"skykids","paidtelevision"
"skyliv","paidtelevision"
"skylivplus1","paidtelevision"
"skynews","paidtelevision"
"skysh","paidtelevision"
"skysp1","paidtelevision"
"skyspac","paidtelevision"
"skyspar","paidtelevision"
"skyspf1","paidtelevision"
"skyspgo","paidtelevision"
"skyspme","paidtelevision"
"skyspmix","paidtelevision"
"skyspnw","paidtelevision"
"skywit","paidtelevision"
"sonychan","paidtelevision"
"sonychplus1","paidtelevision"
"sonycr","paidtelevision"
"sonycr2","paidtelevision"
"sonyeta","paidtelevision"
"sonymax","paidtelevision"
"sonymix","paidtelevision"
"sonymovi","paidtelevision"
"sonysab","paidtelevision"
"spaidtelevision2","paidtelevision"
"spaidtelevisionc3","paidtelevision"
"spaidtelevisionc3plus1","paidtelevision"
"spaidtelevisione3","paidtelevision"
"spaidtelevisionn3","paidtelevision"
"spaidtelevisionw3","paidtelevision"
"spike","paidtelevision"
"starbhar","paidtelevision"
"stargold","paidtelevision"
"starlife","paidtelevision"
"starplus","paidtelevision"
"stvc3","paidtelevision"
"stvc3plus1","paidtelevision"
"stve3","paidtelevision"
"stvn3","paidtelevision"
"stvw3","paidtelevision"
"syfy","paidtelevision"
"syfyplus1","paidtelevision"
"talkpict","paidtelevision"
"tinypop","paidtelevision"
"tlc","paidtelevision"
"tlcplus1","paidtelevision"
"tlcplus2","paidtelevision"
